Stage,Team_A,Team_B,Team_A_Advancement_%,Team_B_Advancement_%,Expected_Winner
Round of 32,Argentina,New Zealand,96.1%,3.9%,Argentina
Round of 32,England,Algeria,91.4%,8.6%,England
Round of 32,Netherlands,Bosnia-Herzegovina,83.3%,16.7%,Netherlands
Round of 32,Spain,Austria,89.4%,10.6%,Spain
Round of 32,Mexico,Côte d'Ivoire,80.5%,19.5%,Mexico
Round of 32,Brazil,Senegal,86.9%,13.1%,Brazil
Round of 32,Ecuador,Korea Republic,93.6%,6.4%,Ecuador
Round of 32,Canada,Morocco,57.2%,42.8%,Canada
Round of 32,France,United States,94.8%,5.2%,France
Round of 32,Switzerland,Paraguay,77.3%,22.7%,Switzerland
Round of 32,Belgium,Türkiye,78.1%,21.9%,Belgium
Round of 32,Germany,IR Iran,91.8%,8.2%,Germany
Round of 32,Portugal,Czechia,88.9%,11.1%,Portugal
Round of 32,Colombia,Japan,74.0%,26.0%,Colombia
Round of 32,Uruguay,Croatia,58.4%,41.6%,Uruguay
Round of 32,Norway,Scotland,86.3%,13.7%,Norway
Round of 16,Argentina,Norway,87.2%,12.8%,Argentina
Round of 16,England,Uruguay,81.4%,18.6%,England
Round of 16,Netherlands,Colombia,71.9%,28.1%,Netherlands
Round of 16,Spain,Portugal,91.7%,8.3%,Spain
Round of 16,Mexico,Germany,80.3%,19.7%,Mexico
Round of 16,Brazil,Belgium,83.7%,16.3%,Brazil
Round of 16,Ecuador,Switzerland,79.7%,20.3%,Ecuador
Round of 16,Canada,France,22.1%,77.9%,France
Quarterfinals,Argentina,France,76.6%,23.4%,Argentina
Quarterfinals,England,Ecuador,76.3%,23.7%,England
Quarterfinals,Netherlands,Brazil,68.3%,31.7%,Netherlands
Quarterfinals,Spain,Mexico,95.8%,4.2%,Spain
Semifinals,Argentina,Spain,59.1%,40.9%,Argentina
Semifinals,England,Netherlands,85.2%,14.8%,England
Final,Argentina,England,72.1%,27.9%,Argentina
